Key,Description,Standard,en,zh-TW,ml,vi
SAY.Flowchart.1.,,"Hello! This is Dong Ho. Dong Ho is Vietnamese folk painting. It is connected with people daily life in the past. ","Hello! This is Dong Ho. Dong Ho is Vietnamese folk painting. It is connected with people's daily life in the past. ","你好！這是東胡畫。東胡畫是越南的民間版畫。它與過去人們的日常生活息息相關。","നമസ്കാരം! ഇത് ഡോങ് ഹോ ആണ്. ഡോങ് ഹോ വിയറ്റ്നാമീസ് നാടോടി ചിത്രകലയാണ്. ഇത് പഴയകാലത്തെ ആളുകളുടെ ദൈനംദിന ജീവിതവുമായി ബന്ധപ്പെട്ടിരിക്കുന്നു.","Xin chào! Đây là tranh Đông Hồ. Tranh Đông Hồ là dòng tranh dân gian Việt Nam. Nó gắn liền với đời sống sinh hoạt của người dân trong quá khứ."
SAY.Flowchart.2.,,"This famous piece is 'The Mice's Wedding'. Notice how the mice must offer a bird and a fish to bribe the big cat so their wedding can proceed safely!","This famous piece is 'The Mice's Wedding'. Notice how the mice must offer a bird and a fish to bribe the big cat so their wedding can proceed safely!","這幅著名的作品是《老鼠娶親》。注意看老鼠們如何獻上鳥和魚來賄賂大貓，好讓牠們的婚禮能安全進行！","'എലികളുടെ വിവാഹം' എന്നാണ് ഈ പ്രശസ്തമായ ചിത്രം അറിയപ്പെടുന്നത്. തങ്ങളുടെ വിവാഹം സുരക്ഷിതമായി നടത്താൻ എലികൾ വലിയ പൂച്ചയ്ക്ക് ഒരു പക്ഷിയെയും മത്സ്യത്തെയും കൈക്കൂലിയായി നൽകുന്നത് ശ്രദ്ധിക്കുക!","Tác phẩm nổi tiếng này là 'Đám Cưới Chuột'. Hãy chú ý cách bầy chuột phải cống nạp chim và cá để hối lộ chú mèo lớn, nhờ vậy đám cưới của chúng mới diễn ra an toàn!"
SAY.Flowchart.3.,,"It is a clever and humorous satire of the old feudal society, showing the simple desire for a peaceful life.","It is a clever and humorous satire of the old feudal society, showing the simple desire for a peaceful life.","這是對舊封建社會的一種巧妙而幽默的諷刺，展現了對和平生活的簡單渴望。","പഴയ ഫ്യൂഡൽ സമൂഹത്തിന്റെ ബുദ്ധിപരവും നർമ്മം നിറഞ്ഞതുമായ ഒരു ആക്ഷേപഹാസ്യമാണിത്, സമാധാനപരമായ ജീവിതത്തിനായുള്ള ലളിതമായ ആഗ്രഹത്തെ ഇത് കാണിക്കുന്നു.","Đây là một sự châm biếm thông minh và hài hước về xã hội phong kiến cũ, thể hiện khát vọng giản dị về một cuộc sống bình yên."
SAY.Flowchart.16.,,"Hello! This is Vietnamese traditional costume ""Four-panel dress"". ","Hello! This is Vietnamese traditional costume ""Four-panel dress"". ","你好！這是越南傳統服飾「四身襖」。","നമസ്കാരം! ഇത് വിയറ്റ്നാമീസ് പരമ്പരാഗത വസ്ത്രമായ ""നാല് പാനൽ വസ്ത്രം"" (ആവോ തു താൻ) ആണ്.","Xin chào! Đây là trang phục truyền thống của Việt Nam ""Áo Tứ Thân""."
SAY.Flowchart.47.,,"A graceful four-panel dress representing the beauty and identity of northern Vietnamese women.","A graceful four-panel dress representing the beauty and identity of northern Vietnamese women.","優雅的四身襖，代表了越南北部女性的美麗與認同。","വടക്കൻ വിയറ്റ്നാമീസ്സ്ത്രീകളുടെ സൗന്ദര്യത്തെയും വ്യക്തിത്വത്തെയുംപ്രതിനിധീകരിക്കുന്ന മനോഹരമായ നാല് പാനൽ വസ്ത്രം.","Chiếc áo tứ thân duyên dáng tượng trưng cho vẻ đẹp và bản sắc của người phụ nữ Bắc Bộ Việt Nam."
SAY.Flowchart.20.,,"Hello! This is a festival in Bac Ninh Provinve, Vietnam. It is called Firecracker Festival.","Hello! This is a festival in Bac Ninh Province, Vietnam. It is called Firecracker Festival.","你好！這是越南北寧省的一個節慶。它被稱為鞭炮節（同忌爆竹節）。","നമസ്കാരം! ഇത് വിയറ്റ്നാമിലെ ബാക് നിൻ പ്രവിശ്യയിലെ ഒരു ഉത്സവമാണ്. ഫയർക്രാക്കർ ഫെസ്റ്റിവൽ (പടക്ക ഉത്സവം) എന്ന് ഇതിനെ വിളിക്കുന്നു.","Xin chào! Đây là một lễ hội ở tỉnh Bắc Ninh, Việt Nam. Nó được gọi là Lễ hội rước pháo (Đồng Kỵ)."
SAY.Flowchart.46.,,"A vibrant village festival featuring grand firecracker processions, honoring tradition, unity, and wishes for prosperlty.","A vibrant village festival featuring grand firecracker processions, honoring tradition, unity, and wishes for prosperity.","一個充滿活力的村莊節慶，以盛大的鞭炮遊行為特色，尊崇傳統、團結，並祈求繁榮。","പാരമ്പര്യത്തെയും ഐക്യത്തെയുംബഹുമാനിക്കുകയും സമൃദ്ധിക്കായി പ്രാർത്ഥിക്കുകയും ചെയ്യുന്ന, ഗംഭീരമായ പടക്ക ഘോഷയാത്രകൾ ഉൾക്കൊള്ളുന്ന ഊർജ്ജസ്വലമായ ഒരു ഗ്രാമോത്സവം.","Một lễ hội làng sôi động với những đoàn rước pháo hoành tráng, tôn vinh truyền thống, sự đoàn kết và cầu mong sự thịnh vượng."
SAY.Flowchart.24.,,"Hello! This is Vietnamese dessert called ""Husband and wife cake"". ","Hello! This is Vietnamese dessert called ""Husband and wife cake"". ","你好！這是越南的甜點，名為「夫妻糕」。","നമസ്കാരം! ഇത് ""ഭാര്യാഭർത്താക്കന്മാരുടെ കേക്ക്"" എന്ന് വിളിക്കപ്പെടുന്ന വിയറ്റ്നാമീസ് മധുരപലഹാരമാണ്.","Xin chào! Đây là một món bánh tráng miệng của Việt Nam có tên là ""Bánh Phu Thê""."
SAY.Flowchart.48.,,"A symbolic wedding cake representing love, harmony, and the sweet bond between couples.","A symbolic wedding cake representing love, harmony, and the sweet bond between couples.","這是一種象徵性的喜餅，代表著愛、和諧，以及伴侶之間甜蜜的連結。","പ്രണയത്തെയും യോജിപ്പിനെയും ദമ്പതികൾ തമ്മിലുള്ള മധുരമായ ബന്ധത്തെയും പ്രതിനിധീകരിക്കുന്ന ഒരു പ്രതീകാത്മക വിവാഹ കേക്ക്.","Một loại bánh cưới mang tính biểu tượng tượng trưng cho tình yêu, sự hòa hợp và mối liên kết ngọt ngào giữa các cặp đôi."
SAY.Flowchart.29.,,"Hello! This is Kerela traditional costume Kasavu Saree & Mundu. ","Hello! This is Kerala traditional costume Kasavu Saree & Mundu. ","你好！這是喀拉拉邦的傳統服飾：卡薩烏（Kasavu）紗麗與蒙杜（Mundu）。","നമസ്കാരം! ഇത് കേരളത്തിന്റെ പരമ്പരാഗത വസ്ത്രമായ കസവു സാരിയും മുണ്ടുമാണ്.","Xin chào! Đây là trang phục truyền thống của Kerala: Kasavu Saree & Mundu."
SAY.Flowchart.49.,,"Elegant white-and-gold traditional attire symbolizing Kerala's heritage, simplicity, and grace.","Elegant white-and-gold traditional attire symbolizing Kerala's heritage, simplicity, and grace.","優雅的白金色傳統服飾，象徵著喀拉拉邦的文化遺產、純樸與優雅。","കേരളത്തിന്റെ പൈതൃകത്തെയും ലാളിത്യത്തെയും കൃപയെയും പ്രതീകപ്പെടുത്തുന്ന മനോഹരമായ വെള്ളയും സ്വർണ്ണവും നിറത്തിലുള്ള പരമ്പരാഗത വസ്ത്രം.","Trang phục truyền thống màu trắng và vàng thanh lịch tượng trưng cho di sản, sự giản dị và duyên dáng của Kerala."
SAY.Flowchart.32.,,"Hello! This is Kerela traditional festival called Onam Festival. ","Hello! This is Kerala traditional festival called Onam Festival. ","你好！這是喀拉拉邦的傳統節慶，名為歐南節（Onam Festival）。","നമസ്കാരം! ഇത് കേരളത്തിലെ പരമ്പരാഗത ഉത്സവമായ ഓണം ആണ്.","Xin chào! Đây là lễ hội truyền thống của Kerala có tên là Lễ hội Onam."
SAY.Flowchart.50.,,"A harvest celebration of joy, colors, and unity that welcomes the legendary King Mahabali.","A harvest celebration of joy, colors, and unity that welcomes the legendary King Mahabali.","這是一個充滿歡樂、色彩與團結的豐收慶典，用以迎接傳說中的瑪哈巴利國王（King Mahabali）。","ഐതിഹാസികനായ മഹാബലി രാജാവിനെ സ്വാഗതം ചെയ്യുന്ന, സന്തോഷത്തിന്റെയും വർണ്ണങ്ങളുടെയും ഐക്യത്തിന്റെയും വിളവെടുപ്പ് ഉത്സവം.","Lễ hội thu hoạch của niềm vui, sắc màu và sự đoàn kết chào đón vị vua huyền thoại Mahabali."
SAY.Flowchart.34.,,"Hello! This is Kerela tranditional food Kerala Sadya. ","Hello! This is Kerala traditional food Kerala Sadya. ","你好！這是喀拉拉邦的傳統美食：喀拉拉薩迪亞（Kerala Sadya）。","നമസ്കാരം! ഇത് കേരളത്തിന്റെ പരമ്പരാഗത ഭക്ഷണമായ കേരള സദ്യയാണ്.","Xin chào! Đây là món ăn truyền thống của Kerala có tên là Kerala Sadya."
SAY.Flowchart.51.,,"A grand vegetarian feast served on a banana leaf, celebrating Kerala's flavors and togetherness","A grand vegetarian feast served on a banana leaf, celebrating Kerala's flavors and togetherness","盛放在香蕉葉上的素食盛宴，頌揚了喀拉拉邦的風味與相聚的意義。","വാഴയിലയിൽ വിളമ്പുന്ന ഒരു വലിയ സസ്യാഹാര സദ്യ, കേരളത്തിന്റെ തനത് രുചികളും ഒത്തൊരുമയും ആഘോഷിക്കുന്നു.","Bữa đại tiệc chay được phục vụ trên lá chuối, tôn vinh hương vị và sự sum vầy của Kerala."
